X;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1;_SDV1 PI: ELEM-1E: 3 N: 4;_SDV2 PI: ELEM-1E: 3 N: 1;_SDV2 PI: ELEM-1E: 3 N: 2;_SDV2 PI: ELEM-1E: 3 N: 3;_SDV2 PI: ELEM-1E: 3 N: 4;_SDV6 PI: ELEM-1E: 3 N: 1;_SDV6 PI: ELEM-1E: 3 N: 2;_SDV6 PI: ELEM-1E: 3 N: 3;_SDV6 PI: ELEM-1E: 3 N: 4;_SDV7 PI: ELEM-1E: 3 N: 1;_SDV7 PI: ELEM-1E: 3 N: 2;_SDV7 PI: ELEM-1E: 3 N: 3;_SDV7 PI: ELEM-1E: 3 N: 4;_SDV15 PI: ELEM-1E: 3 N: 1;_SDV15 PI: ELEM-1E: 3 N: 2;_SDV15 PI: ELEM-1E: 3 N: 3;_SDV15 PI: ELEM-1E: 3 N: 4;_SDV16 PI: ELEM-1E: 3 N: 1;_SDV16 PI: ELEM-1E: 3 N: 2;_SDV16 PI: ELEM-1E: 3 N: 3;_SDV16 PI: ELEM-1E: 3 N: 4;_RF:RF2 PI: ELEM-1 N: 1;_RF:RF2 PI: ELEM-1 N: 2;_RF:RF2 PI: ELEM-1 N: 3;_RF:RF2 PI: ELEM-1 N: 4;_U:U2 PI: ELEM-1N: 1;_U:U2 PI: ELEM-1N: 2;_U:U2 PI: ELEM-1N: 3;_U:U2 PI: ELEM-1N: 4
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.00E-03;0;0;0;0;-3.64E-12;-3.64E-12;1.00E-04;1.00E-04;1.21E-02;1.21E-02;1.21E-02;1.21E-02;2.83E-02;2.83E-02;2.83E-02;2.83E-02;0;0;0;0;0;0;0;0;-1.41E-02;-1.41E-02;1.41E-02;1.41E-02;1.41E-38;1.41E-38;1.00E-04;1.00E-04
2.00E-03;0;0;0;0;-7.28E-12;-7.28E-12;2.00E-04;2.00E-04;2.42E-02;2.42E-02;2.42E-02;2.42E-02;5.65E-02;5.65E-02;5.65E-02;5.65E-02;5.65E-05;5.65E-05;5.65E-05;5.65E-05;1.41E-06;1.41E-06;1.41E-06;1.41E-06;-2.83E-02;-2.83E-02;2.83E-02;2.83E-02;2.83E-38;2.83E-38;2.00E-04;2.00E-04
3.00E-03;0;0;0;0;1.09E-11;7.28E-12;3.00E-04;3.00E-04;3.63E-02;3.63E-02;3.63E-02;3.63E-02;8.48E-02;8.48E-02;8.48E-02;8.48E-02;2.26E-04;2.26E-04;2.26E-04;2.26E-04;5.65E-06;5.65E-06;5.65E-06;5.65E-06;-4.24E-02;-4.24E-02;4.24E-02;4.24E-02;4.24E-38;4.24E-38;3.00E-04;3.00E-04
4.00E-03;2.61E-38;-2.61E-38;2.61E-38;-2.61E-38;-1.46E-11;-1.46E-11;4.00E-04;4.00E-04;4.84E-02;4.84E-02;4.84E-02;4.84E-02;1.13E-01;1.13E-01;1.13E-01;1.13E-01;5.09E-04;5.09E-04;5.09E-04;5.09E-04;1.27E-05;1.27E-05;1.27E-05;1.27E-05;-5.65E-02;-5.65E-02;5.65E-02;5.65E-02;5.65E-38;5.65E-38;4.00E-04;4.00E-04
5.00E-03;3.26E-38;-3.26E-38;3.26E-38;-3.26E-38;-3.64E-12;0;5.00E-04;5.00E-04;6.05E-02;6.05E-02;6.05E-02;6.05E-02;1.41E-01;1.41E-01;1.41E-01;1.41E-01;9.04E-04;9.04E-04;9.04E-04;9.04E-04;2.26E-05;2.26E-05;2.26E-05;2.26E-05;-7.06E-02;-7.06E-02;7.06E-02;7.06E-02;7.06E-38;7.06E-38;5.00E-04;5.00E-04
6.00E-03;3.91E-38;-3.91E-38;3.91E-38;-3.91E-38;2.18E-11;1.46E-11;6.00E-04;6.00E-04;7.26E-02;7.26E-02;7.26E-02;7.26E-02;1.69E-01;1.69E-01;1.69E-01;1.69E-01;1.41E-03;1.41E-03;1.41E-03;1.41E-03;3.53E-05;3.53E-05;3.53E-05;3.53E-05;-8.47E-02;-8.47E-02;8.47E-02;8.47E-02;8.47E-38;8.47E-38;6.00E-04;6.00E-04
7.00E-03;4.56E-38;-4.56E-38;4.56E-38;-4.56E-38;0;0;7.00E-04;7.00E-04;8.46E-02;8.46E-02;8.46E-02;8.46E-02;1.97E-01;1.97E-01;1.97E-01;1.97E-01;2.03E-03;2.03E-03;2.03E-03;2.03E-03;5.09E-05;5.09E-05;5.09E-05;5.09E-05;-9.87E-02;-9.87E-02;9.87E-02;9.87E-02;9.87E-38;9.87E-38;7.00E-04;7.00E-04
8.00E-03;5.20E-38;-5.20E-38;5.20E-38;-5.20E-38;-2.91E-11;-2.91E-11;8.00E-04;8.00E-04;9.65E-02;9.65E-02;9.65E-02;9.65E-02;2.25E-01;2.25E-01;2.25E-01;2.25E-01;2.76E-03;2.76E-03;2.76E-03;2.76E-03;6.93E-05;6.93E-05;6.93E-05;6.93E-05;-1.13E-01;-1.13E-01;1.13E-01;1.13E-01;1.13E-37;1.13E-37;8.00E-04;8.00E-04
9.00E-03;5.84E-38;-5.84E-38;5.84E-38;-5.84E-38;3.64E-11;2.91E-11;9.00E-04;9.00E-04;1.08E-01;1.08E-01;1.08E-01;1.08E-01;2.53E-01;2.53E-01;2.53E-01;2.53E-01;3.61E-03;3.61E-03;3.61E-03;3.61E-03;9.05E-05;9.05E-05;9.05E-05;9.05E-05;-1.27E-01;-1.27E-01;1.27E-01;1.27E-01;1.27E-37;1.27E-37;9.00E-04;9.00E-04
